"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"6160","NA","North America",,
"3589","NA","North America",,
"3580","NA","North America",,
"3581","NA","North America",,
"3582","NA","North America",,
"3583","NA","North America",,
"3584","NA","North America",,
"3585","NA","North America",,
"3586","NA","North America",,
"3588","NA","North America",,
"3601","NA","North America",,
"3590","NA","North America",,
"3591","NA","North America",,
"3592","NA","North America",,
"3593","NA","North America",,
"3594","NA","North America",,
"3595","NA","North America",,
"3596","NA","North America",,
"3597","NA","North America",,
"3598","NA","North America",,
"3599","NA","North America",,
"3600","NA","North America",,
"3602","NA","North America",,
"3587","NA","North America",,
"3603","NA","North America",,
"5602","NA","North America",,
"5603","NA","North America",,
"848","NA","North America",,
"847","NA","North America",,
"851","NA","North America",,
"850","NA","North America",,
"849","NA","North America",,
"823","NA","North America",,
"824","NA","North America",,
"825","NA","North America",,
"821","NA","North America",,
"822","NA","North America",,
"819","NA","North America",,
"820","NA","North America",,
"2411","NA","North America",,
"2412","NA","North America",,
"2415","NA","North America",,
"2394","NA","North America",,
"2414","NA","North America",,
"2410","NA","North America",,
"2416","NA","North America",,
"2417","NA","North America",,
"2393","NA","North America",,
"2413","NA","North America",,
"2397","NA","North America",,
"2408","NA","North America",,
"2407","NA","North America",,
"2406","NA","North America",,
"2404","NA","North America",,
"2402","NA","North America",,
"2401","NA","North America",,
"2396","NA","North America",,
"2400","NA","North America",,
"2409","NA","North America",,
"2399","NA","North America",,
"2398","NA","North America",,
"2403","NA","North America",,
"2395","NA","North America",,
"2405","NA","North America",,
"6081","NA","North America",,
"5607","NA","North America",,
"6080","NA","North America",,
"5605","NA","North America",,
"5606","NA","North America",,
"6189","NA","North America",,
"3362","NA","North America",,
"2438","NA","North America",,
"3361","NA","North America",,
"3360","NA","North America",,
"3359","NA","North America",,
"2435","NA","North America",,
"2434","NA","North America",,
"3363","NA","North America",,
"3574","NA","North America",,
"3321","NA","North America",,
"3579","NA","North America",,
"3556","NA","North America",,
"3578","NA","North America",,
"3577","NA","North America",,
"2436","NA","North America",,
"3575","NA","North America",,
"3364","NA","North America",,
"3573","NA","North America",,
"3572","NA","North America",,
"3571","NA","North America",,
"2439","NA","North America",,
"2437","NA","North America",,
"2433","NA","North America",,
"3576","NA","North America",,
"3568","NA","North America",,
"3557","NA","North America",,
"1092","NA","North America",,
"3558","NA","North America",,
"3559","NA","North America",,
"1578","NA","North America",,
"3560","NA","North America",,
"3561","NA","North America",,
"3562","NA","North America",,
"3563","NA","North America",,
"3564","NA","North America",,
"3565","NA","North America",,
"3336","NA","North America",,
"3567","NA","North America",,
"2432","NA","North America",,
"3569","NA","North America",,
"2177","NA","North America",,
"1576","NA","North America",,
"1575","NA","North America",,
"3337","NA","North America",,
"3570","NA","North America",,
"3335","NA","North America",,
"1577","NA","North America",,
"3334","NA","North America",,
"2431","NA","North America",,
"3566","NA","North America",,
"6093","NA","North America",,
"5604","NA","North America",,
"6098","NA","North America",,
"6097","NA","North America",,
"6100","NA","North America",,
"6079","NA","North America",,
"6099","NA","North America",,
"5527","NA","North America",,
"5528","NA","North America",,
"5529","NA","North America",,
"6094","NA","North America",,
"6095","NA","North America",,
"5526","NA","North America",,
"6096","NA","North America",,
"2427","NA","North America",,
"2425","NA","North America",,
"2426","NA","North America",,
"2430","NA","North America",,
"2428","NA","North America",,
"2429","NA","North America",,
"5633","NA","North America",,
"6021","NA","North America",,
"6020","NA","North America",,
"6019","NA","North America",,
"5634","NA","North America",,
"6102","NA","North America",,
"6101","NA","North America",,
"5632","NA","North America",,
"5635","NA","North America",,
"6022","NA","North America",,
"856","NA","North America",,
"852","NA","North America",,
"858","NA","North America",,
"853","NA","North America",,
"854","NA","North America",,
"855","NA","North America",,
"857","NA","North America",,
"859","NA","North America",,
"860","NA","North America",,
"2112","NA","North America",,
"89","NA","North America",,
"90","NA","North America",,
"5731","NA","North America",,
"5732","NA","North America",,
"5730","NA","North America",,
"5729","NA","North America",,
"398","NA","North America",,
"395","NA","North America",,
"394","NA","North America",,
"397","NA","North America",,
"399","NA","North America",,
"400","NA","North America",,
"401","NA","North America",,
"402","NA","North America",,
"403","NA","North America",,
"404","NA","North America",,
"396","NA","North America",,
"75","NA","North America",,
"64","NA","North America",,
"65","NA","North America",,
"393","NA","North America",,
"66","NA","North America",,
"79","NA","North America",,
"80","NA","North America",,
"78","NA","North America",,
"67","NA","North America",,
"68","NA","North America",,
"76","NA","North America",,
"83","NA","North America",,
"74","NA","North America",,
"381","NA","North America",,
"380","NA","North America",,
"73","NA","North America",,
"72","NA","North America",,
"71","NA","North America",,
"70","NA","North America",,
"69","NA","North America",,
"77","NA","North America",,
"382","NA","North America",,
"392","NA","North America",,
"391","NA","North America",,
"390","NA","North America",,
"389","NA","North America",,
"388","NA","North America",,
"387","NA","North America",,
"386","NA","North America",,
"385","NA","North America",,
"82","NA","North America",,
"383","NA","North America",,
"63","NA","North America",,
"88","NA","North America",,
"87","NA","North America",,
"86","NA","North America",,
"85","NA","North America",,
"84","NA","North America",,
"60","NA","North America",,
"61","NA","North America",,
"62","NA","North America",,
"81","NA","North America",,
"384","NA","North America",,
"1206","NA","North America",,
"1209","NA","North America",,
"1208","NA","North America",,
"1207","NA","North America",,
"1205","NA","North America",,
"1203","NA","North America",,
"1202","NA","North America",,
"1201","NA","North America",,
"1210","NA","North America",,
"1204","NA","North America",,
"683","NA","North America",,
"685","NA","North America",,
"686","NA","North America",,
"687","NA","North America",,
"688","NA","North America",,
"689","NA","North America",,
"690","NA","North America",,
"684","NA","North America",,
"691","NA","North America",,
"692","NA","North America",,
"433","NA","North America",,
"419","NA","North America",,
"424","NA","North America",,
"420","NA","North America",,
"422","NA","North America",,
"430","NA","North America",,
"418","NA","North America",,
"428","NA","North America",,
"427","NA","North America",,
"426","NA","North America",,
"434","NA","North America",,
"423","NA","North America",,
"425","NA","North America",,
"429","NA","North America",,
"410","NA","North America",,
"432","NA","North America",,
"431","NA","North America",,
"421","NA","North America",,
"411","NA","North America",,
"417","NA","North America",,
"413","NA","North America",,
"414","NA","North America",,
"405","NA","North America",,
"416","NA","North America",,
"409","NA","North America",,
"408","NA","North America",,
"407","NA","North America",,
"406","NA","North America",,
"415","NA","North America",,
"412","NA","North America",,
"445","NA","North America",,
"452","NA","North America",,
"446","NA","North America",,
"447","NA","North America",,
"436","NA","North America",,
"448","NA","North America",,
"435","NA","North America",,
"444","NA","North America",,
"449","NA","North America",,
"450","NA","North America",,
"442","NA","North America",,
"441","NA","North America",,
"440","NA","North America",,
"451","NA","North America",,
"439","NA","North America",,
"437","NA","North America",,
"438","NA","North America",,
"443","NA","North America",,
"4637","NA","North America",,
"4636","NA","North America",,
"4635","NA","North America",,
"4634","NA","North America",,
"6191","NA","North America",,
"205","NA","North America",,
"204","NA","North America",,
"707","NA","North America",,
"708","NA","North America",,
"95","NA","North America",,
"94","NA","North America",,
"93","NA","North America",,
"91","NA","North America",,
"702","NA","North America",,
"108","NA","North America",,
"706","NA","North America",,
"703","NA","North America",,
"705","NA","North America",,
"704","NA","North America",,
"701","NA","North America",,
"92","NA","North America",,
"97","NA","North America",,
"110","NA","North America",,
"111","NA","North America",,
"112","NA","North America",,
"117","NA","North America",,
"113","NA","North America",,
"109","NA","North America",,
"202","NA","North America",,
"99","NA","North America",,
"203","NA","North America",,
"96","NA","North America",,
"101","NA","North America",,
"116","NA","North America",,
"115","NA","North America",,
"114","NA","North America",,
"98","NA","North America",,
"105","NA","North America",,
"103","NA","North America",,
"199","NA","North America",,
"200","NA","North America",,
"201","NA","North America",,
"104","NA","North America",,
"102","NA","North America",,
"106","NA","North America",,
"107","NA","North America",,
"100","NA","North America",,
"375","NA","North America",,
"370","NA","North America",,
"379","NA","North America",,
"374","NA","North America",,
"368","NA","North America",,
"373","NA","North America",,
"372","NA","North America",,
"367","NA","North America",,
"378","NA","North America",,
"377","NA","North America",,
"371","NA","North America",,
"376","NA","North America",,
"369","NA","North America",,
"1069","NA","North America",,
"1068","NA","North America",,
"1067","NA","North America",,
"1066","NA","North America",,
"1065","NA","North America",,
"1064","NA","North America",,
"1074","NA","North America",,
"1062","NA","North America",,
"1070","NA","North America",,
